,day,china,confirm,death,die,health,hospit,infect,lockdown,mask,outbreak,pandem,patient,posit,record,report,spread,studi,test,vaccin,china_ks,confirm_ks,death_ks,die_ks,health_ks,hospit_ks,infect_ks,lockdown_ks,mask_ks,outbreak_ks,pandem_ks,patient_ks,posit_ks,record_ks,report_ks,spread_ks,studi_ks,test_ks,vaccin_ks
45,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3248371206086205,0.3911753800519157,0.6499991171846649,1.6947613750725274,0.6534491586772848,1.1082225400351788,0.09915779437463934,0.0,0.0,0.04624185603052422,-0.01430160495785726,-0.07007786429352869,1.0602256475446392,0.14337270688784098,1.5214753606297269,0.21599660999003456,0.547670250895969,0.2310856860355677,0.0
46,47,1,0,0,0,0,9,1,0,0,0,0,0,1,0,1,0,1,0,0,3.3166551900727232,0.4310927485567064,0.6807034270888206,1.8393982732146623,0.535713402898736,1.1702279428647555,0.07227430831436615,0.0,0.0,0.04682451401023502,-0.09101823896071436,-0.06640535339131226,1.0003248759645442,0.23723007927679615,1.727238377739727,0.2447940392321435,0.5320055793917282,0.20751452230881084,0.0
47,48,1,0,2,8,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3.1786005614695583,0.4607835867011687,0.6921235234915528,1.925719935730811,0.4668926673379943,1.2002930946199584,0.060137366032839264,0.0,0.0,0.05911330049261632,-0.11503081024759075,-0.04064480816413685,0.9925349153380468,0.2563518547945696,1.8809153027169323,0.2627822801349717,0.5288592263008018,0.17632289845861482,0.0
48,49,7,0,2,4,0,0,0,0,0,0,0,0,4,1,4,0,2,0,0,2.9482952840027536,0.4594664265411064,0.6938891537336698,1.9606123205690051,0.4436958172215384,1.1669226830525723,0.030510090576722607,-0.014301604957920988,0.0,0.07932623549972773,-0.09731447640267454,-0.0022882567935536,1.0257782015289043,0.2886522944365211,1.9693345339627868,0.27635644543297033,0.5302222928474443,0.15010682062956435,0.0
49,50,4,1,0,3,1,1,0,0,0,1,0,0,2,2,1,0,2,0,0,2.677571199039974,0.4401822130409752,0.6829599025375401,1.9642071437412407,0.4789872344928519,1.1162385013334737,0.026992955135225927,-0.019510214170982643,0.0,0.10412627787487938,-0.04795451736525358,0.06345675088713243,1.1058742518140878,0.34198139025728835,2.030209933436346,0.34183307731677104,0.5535568621219509,0.12790225470976235,0.0
50,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,2.3748821441813166,0.42639970337408295,0.6579267969700702,1.910143545738265,0.5642389250843678,1.0460900118293497,0.043134346805152816,-0.017479739392959548,0.0,0.13062132528206122,0.023853664565706367,0.14702403022764002,1.2179917721630815,0.3858255204194872,2.0501474301244684,0.42740964387235536,0.5931528859225992,0.10948673128885034,0.0
51,52,0,1,0,0,1,2,0,0,0,0,0,0,0,0,2,1,0,0,0,2.041795999075365,0.4033723537611564,0.6047107014838646,1.8139096350421724,0.6663241343997797,0.9425463919327548,0.07322421738478369,-0.009915779437325243,0.0,0.1563642142064503,0.10980454473325453,0.2398855871612855,1.3520454826351278,0.4142521673114481,2.0295919628492527,0.5413528258924645,0.6201281847553459,0.09537934565695584,-0.014301604957851488
52,53,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.642389250838992,0.3955329554880232,0.534258523579012,1.6379398626304074,0.8172113635969254,0.7889895298110952,0.11229408337357503,0.0016243798225925588,0.0,0.16505111499557756,0.20248247612071024,0.3345516182007695,1.4089976517113258,0.4459099175451504,1.9431290499111211,0.6690537987544078,0.6453731659511064,0.08684075780849643,-0.01951021417076282
53,54,1,0,2,3,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1.3112382364853092,0.3781520913886375,0.4572947013429629,1.4190052439191838,1.0257711390085085,0.6591627381382636,0.15611702597282084,0.015731765453848467,0.0,0.17851934247934387,0.29536168935551466,0.4245705104438606,1.457344138989571,0.4610837438422442,1.8180835849328003,0.7984250578248133,0.6532514080895239,0.08587319243596347,-0.017479739392789018
54,55,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1.0750392852696535,0.3656796793612178,0.3987711213514453,1.209975810863667,1.201733848897387,0.5537334251452588,0.20120769108553288,0.031145717463953337,0.0,0.1938026378515838,0.3828062927064408,0.5045288415700817,1.5032293377111792,0.4790896410472501,1.6318766883816274,0.919900418454212,0.6678990765749022,0.08091883397777977,-0.009915779437311034
55,56,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0.8747991595597782,0.34544555679126754,0.3317160160317325,1.00472482652534,1.3457280576298771,0.4764835708099184,0.2162190794006036,0.046753888800677934,0.0,0.17992478415179902,0.4600702720835237,0.5700513798396436,1.5146388403332995,0.4953299080105698,1.4114624715273578,1.0264350159787303,0.6648833801219656,0.05595282236007293,0.0016243798225210606
56,57,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.8048131080401077,0.3153556862121967,0.292324805339792,0.7680597489270298,1.3559722442920157,0.39461129650243976,0.2316365626713035,0.061592245351998136,0.0,0.16759362254381086,0.5089958860810384,0.6178010840961612,1.5253950597654296,0.5066899729855043,1.1957801437209703,1.0562988858866404,0.6595441142708536,0.04062715186267063,0.0014301604960378356
